quarter_parsed,rublər,gdp,dovlət_gəlirləri,dovlət_xərcləri,əhalinin_nominal_gəlirləri,əhalinin_banklardakı_əmanətləri,orta_aylıq_əməkhaqqı,xarici_ticarət_dovriyyəsi,ixrac,idxal,pul_bazası,oil_price,tikinti_qurasdırma_islərinə_sərf_edilmis_vəsait,istehlak_xərcləri,yasayıs_evlərinin_tikintisinə_yonəldilmis_investisiyalar,mənzil_qiymətləri,nagd_pul_kredit_satısı,mustərilərə_verilmis_kreditlər,npls,roa,roe,net_interest_margin,efficiency_ratio,loan_to_deposit_ratio,mustəri_sayı,ucot_faiz_dərəcəsi,rublər_lag1,rublər_lag2,rublər_lag4,rublər_rollmean4,gdp_lag1,gdp_lag2,gdp_lag4,gdp_rollmean4,dovlət_gəlirləri_lag1,dovlət_gəlirləri_lag2,dovlət_gəlirləri_lag4,dovlət_gəlirləri_rollmean4,dovlət_xərcləri_lag1,dovlət_xərcləri_lag2,dovlət_xərcləri_lag4,dovlət_xərcləri_rollmean4,əhalinin_nominal_gəlirləri_lag1,əhalinin_nominal_gəlirləri_lag2,əhalinin_nominal_gəlirləri_lag4,əhalinin_nominal_gəlirləri_rollmean4,əhalinin_banklardakı_əmanətləri_lag1,əhalinin_banklardakı_əmanətləri_lag2,əhalinin_banklardakı_əmanətləri_lag4,əhalinin_banklardakı_əmanətləri_rollmean4,orta_aylıq_əməkhaqqı_lag1,orta_aylıq_əməkhaqqı_lag2,orta_aylıq_əməkhaqqı_lag4,orta_aylıq_əməkhaqqı_rollmean4,xarici_ticarət_dovriyyəsi_lag1,xarici_ticarət_dovriyyəsi_lag2,xarici_ticarət_dovriyyəsi_lag4,xarici_ticarət_dovriyyəsi_rollmean4,ixrac_lag1,ixrac_lag2,ixrac_lag4,ixrac_rollmean4,idxal_lag1,idxal_lag2,idxal_lag4,idxal_rollmean4,pul_bazası_lag1,pul_bazası_lag2,pul_bazası_lag4,pul_bazası_rollmean4,oil_price_lag1,oil_price_lag2,oil_price_lag4,oil_price_rollmean4,tikinti_qurasdırma_islərinə_sərf_edilmis_vəsait_lag1,tikinti_qurasdırma_islərinə_sərf_edilmis_vəsait_lag2,tikinti_qurasdırma_islərinə_sərf_edilmis_vəsait_lag4,tikinti_qurasdırma_islərinə_sərf_edilmis_vəsait_rollmean4,istehlak_xərcləri_lag1,istehlak_xərcləri_lag2,istehlak_xərcləri_lag4,istehlak_xərcləri_rollmean4,yasayıs_evlərinin_tikintisinə_yonəldilmis_investisiyalar_lag1,yasayıs_evlərinin_tikintisinə_yonəldilmis_investisiyalar_lag2,yasayıs_evlərinin_tikintisinə_yonəldilmis_investisiyalar_lag4,yasayıs_evlərinin_tikintisinə_yonəldilmis_investisiyalar_rollmean4,mənzil_qiymətləri_lag1,mənzil_qiymətləri_lag2,mənzil_qiymətləri_lag4,mənzil_qiymətləri_rollmean4,nagd_pul_kredit_satısı_lag1,nagd_pul_kredit_satısı_lag2,nagd_pul_kredit_satısı_lag4,nagd_pul_kredit_satısı_rollmean4,mustərilərə_verilmis_kreditlər_lag1,mustərilərə_verilmis_kreditlər_lag2,mustərilərə_verilmis_kreditlər_lag4,mustərilərə_verilmis_kreditlər_rollmean4,npls_lag1,npls_lag2,npls_lag4,npls_rollmean4,roa_lag1,roa_lag2,roa_lag4,roa_rollmean4,roe_lag1,roe_lag2,roe_lag4,roe_rollmean4,net_interest_margin_lag1,net_interest_margin_lag2,net_interest_margin_lag4,net_interest_margin_rollmean4,efficiency_ratio_lag1,efficiency_ratio_lag2,efficiency_ratio_lag4,efficiency_ratio_rollmean4,loan_to_deposit_ratio_lag1,loan_to_deposit_ratio_lag2,loan_to_deposit_ratio_lag4,loan_to_deposit_ratio_rollmean4,mustəri_sayı_lag1,mustəri_sayı_lag2,mustəri_sayı_lag4,mustəri_sayı_rollmean4,ucot_faiz_dərəcəsi_lag1,ucot_faiz_dərəcəsi_lag2,ucot_faiz_dərəcəsi_lag4,ucot_faiz_dərəcəsi_rollmean4
,2023.0,30510400.0,6597000.0,9151200.0,20147200.000000004,12705500.0,0.9198,18084940.000000004,10578250.0,7506690.000000002,17896200.0,0.147322,3196767.1000000015,0.34523000000000004,240258.19999999995,1.4933750671086752,104918.58741999995,643085.23779,22.302806459999942,0.029781212326230305,0.1764440790741645,0.027166912132646517,0.6751261750993975,1.2841566858613296,91918.0,0.09,2023.0,2023.0,2022.0,2022.5,29991500.0,30310600.0,34713400.0,32690874.999999996,7190000.0,8290000.0,8196000.0,7983775.0,7496299.999999999,6567000.0,7534100.0,8283750.0,19391199.999999996,18479900.0,17991800.000000004,18456500.0,12748800.0,11964400.0,11225700.0,11920475.0,0.9218999999999999,0.9013,0.8274,0.8725,18163480.000000004,20857809.999999996,26130019.999999996,22644085.0,11076860.000000002,14006980.0,19438310.000000004,15681989.999999998,7086620.000000001,6850830.0,6691709.999999998,6962095.0,18401700.0,17688900.0,16144900.0,17423950.0,0.13313833333333336,0.13799466666666665,0.17121266666666665,0.148223,3413103.599999999,931341.1,2609270.0000000014,2514073.5750000007,0.33751,0.3295,0.3267614,0.33180034999999997,213512.8,185334.7,273015.69999999995,234290.6,1.4528408085501265,1.436181107700797,1.3567723430391072,1.4096981059720706,100794.532,76131.985,108253.86425,102610.60039,617854.0735200001,583589.24106,531929.56961,577726.81479,16.57960016000002,13.91708009000012,17.05736131000002,15.319783431250071,0.021454683417108353,0.012957782043627162,0.04704747137968012,0.033508218675554494,0.130726238067897,0.07198844297250113,0.2642748832766934,0.1917627858277992,0.027257837098284915,0.02844664397060855,0.03071032491344275,0.029183154031997293,0.6602236322696248,0.6551484472418477,0.5926391778189986,0.6311910807579574,1.2628784059943305,1.3354593549091989,1.4142547734847688,1.3550563619790492,76558.0,56186.0,59127.0,63697.75,0.08875,0.085,0.075,0.0825
,2023.0,32193000.0,13497800.000000004,13244000.0,20031899.999999993,12947800.0,0.9338,19170219.999999996,11229350.0,7940869.999999997,20875200.0,0.14232966666666666,5075198.3999999985,0.34811000000000003,332326.4,1.5189117807562333,94647.02724000007,659043.31908,17.300444700000018,0.029232917758229195,0.1831934981693755,0.02582138017020799,0.7313097865186329,1.1624018409204793,108724.0,0.085,2023.0,2023.0,2022.0,2022.75,30510400.0,29991500.0,35747999.999999985,31640124.999999996,6597000.0,7190000.0,8259099.999999998,7584025.0,9151200.0,7496299.999999999,11537599.999999998,8688025.0,20147200.000000004,19391199.999999996,17963100.000000007,18995350.0,12705500.0,12748800.0,11743000.0,12290425.0,0.9198,0.9218999999999999,0.8393999999999999,0.8956,18084940.000000004,18163480.000000004,25425030.000000004,20632815.0,10578250.0,11076860.000000002,18205809.99999999,13466974.999999996,7506690.000000002,7086620.000000001,7219220.0,7165840.000000001,17896200.0,18401700.0,17460300.0,17861775.0,0.147322,0.13313833333333336,0.15054633333333334,0.14225033333333334,3196767.1000000015,3413103.599999999,3102579.6000000024,2660947.8500000006,0.34523000000000004,0.33751,0.33343,0.33641750000000004,240258.19999999995,213512.8,265299.20000000007,226101.225,1.4933750671086752,1.4528408085501265,1.3929981645982514,1.4438487869894625,104918.58741999995,100794.532,125262.02031,101776.7811825,643085.23779,617854.0735200001,577534.37497,605515.731835,22.302806459999942,16.57960016000002,13.725092165000147,16.631144718750054,0.029781212326230305,0.021454683417108353,0.05257293786180233,0.029191653912192035,0.1764440790741645,0.130726238067897,0.3000615789941053,0.16980508477716696,0.027166912132646517,0.027257837098284915,0.030317810145652963,0.028297300836798236,0.6751261750993975,0.6602236322696248,0.6167530657013585,0.6518128300780571,1.2841566858613296,1.2628784059943305,1.4076329135278995,1.3225318400731896,91918.0,76558.0,62920.0,71895.5,0.09,0.08875,0.08125,0.08625
,2024.0,29096800.0,9234300.0,8412600.0,19408100.0,13150500.0,0.9853,16839350.0,10529630.0,6309719.999999999,20396400.0,0.14110566666666668,2413844.599999999,0.34954,233462.2,1.5520240575767195,92049.80842,669359.78759,16.43022009999996,0.003798249953003677,0.024585748681087517,0.02381878484141557,0.7462670094618404,1.0709283670246263,139975.0,0.0775,2023.0,2023.0,2023.0,2023.0,32193000.0,30510400.0,30310600.0,30751375.0,13497800.000000004,6597000.0,8290000.0,8893700.0,13244000.0,9151200.0,6567000.0,9114625.0,20031899.999999993,20147200.000000004,18479900.0,19512550.0,12947800.0,12705500.0,11964400.0,12591625.0,0.9338,0.9198,0.9013,0.9191999999999999,19170219.999999996,18084940.000000004,20857809.999999996,19069112.5,11229350.0,10578250.0,14006980.0,11722860.0,7940869.999999997,7506690.000000002,6850830.0,7346252.5,20875200.0,17896200.0,17688900.0,18715500.0,0.14232966666666666,0.147322,0.13799466666666665,0.14019616666666668,5075198.3999999985,3196767.1000000015,931341.1,3154102.55,0.34811000000000003,0.34523000000000004,0.3295,0.3400875,332326.4,240258.19999999995,185334.7,242858.025,1.5189117807562333,1.4933750671086752,1.436181107700797,1.475327191028958,94647.02724000007,104918.58741999995,76131.985,94123.032915,659043.31908,643085.23779,583589.24106,625892.9678625001,17.300444700000018,22.302806459999942,13.91708009000012,17.52498285250002,0.029232917758229195,0.029781212326230305,0.012957782043627162,0.023356648886298754,0.1831934981693755,0.1764440790741645,0.07198844297250113,0.14058806457098455,0.02582138017020799,0.027166912132646517,0.02844664397060855,0.027173193342936993,0.7313097865186329,0.6751261750993975,0.6551484472418477,0.6804520102823758,1.1624018409204793,1.2841566858613296,1.3354593549091989,1.2612240719213346,108724.0,91918.0,56186.0,83346.5,0.085,0.09,0.085,0.0871875
,2024.0,30423599.999999996,9608600.000000002,7639500.0,20473100.0,14180700.0,1.0028,20848290.0,12083770.0,8764520.0,20401000.0,0.14389933333333332,2868130.7000000007,0.35345,630847.3999999999,1.5860133844376498,115337.48200000002,712667.61041,16.226821889999915,0.01157529390593537,0.07863605440986166,0.025062929405175866,0.7452009047450583,1.1254406752003696,198624.0,0.0725,2024.0,2023.0,2023.0,2023.25,29096800.0,32193000.0,29991500.0,30447925.0,9234300.0,13497800.000000004,7190000.0,9129775.0,8412600.0,13244000.0,7496299.999999999,9576025.0,19408100.0,20031899.999999993,19391199.999999996,19744600.0,13150500.0,12947800.0,12748800.0,12888150.0,0.9853,0.9338,0.9218999999999999,0.9402,16839350.0,19170219.999999996,18163480.000000004,18064497.5,10529630.0,11229350.0,11076860.000000002,10853522.5,6309719.999999999,7940869.999999997,7086620.000000001,7210975.0,20396400.0,20875200.0,18401700.0,19392375.0,0.14110566666666668,0.14232966666666666,0.13313833333333336,0.1409739166666667,2413844.599999999,5075198.3999999985,3413103.599999999,3524728.425,0.34954,0.34811000000000003,0.33751,0.34509750000000006,233462.2,332326.4,213512.8,254889.89999999997,1.5520240575767195,1.5189117807562333,1.4528408085501265,1.5042879284979387,92049.80842,94647.02724000007,100794.532,98102.48877000001,669359.78759,659043.31908,617854.0735200001,647335.6044950001,16.43022009999996,17.300444700000018,16.57960016000002,18.15326785499998,0.003798249953003677,0.029232917758229195,0.021454683417108353,0.021066765863642884,0.024585748681087517,0.1831934981693755,0.130726238067897,0.12873739099813114,0.02381878484141557,0.02582138017020799,0.027257837098284915,0.02601622856063875,0.7462670094618404,0.7313097865186329,0.6602236322696248,0.7032316508373738,1.0709283670246263,1.1624018409204793,1.2628784059943305,1.1950913249501913,139975.0,108724.0,76558.0,104293.75,0.0775,0.085,0.08875,0.0853125
,2024.0,33309100.000000007,8894099.999999998,9121900.0,21705800.000000004,14164000.0,0.993,20407990.0,10588790.0,9819199.999999998,20897400.0,0.13573366666666664,3590035.8,0.36143000000000003,800935.4,1.6456474876925056,126285.41380000001,750604.1268900001,20.050513879999997,0.021789035779643296,0.13383431266535933,0.028373769446463866,0.7261943040999502,1.2091265938955278,224272.0,0.0725,2024.0,2024.0,2023.0,2023.5,30423599.999999996,29096800.0,30510400.0,30555950.0,9608600.000000002,9234300.0,6597000.0,9734425.0,7639500.0,8412600.0,9151200.0,9611825.0,20473100.0,19408100.0,20147200.000000004,20015075.0,14180700.0,13150500.0,12705500.0,13246125.0,1.0028,0.9853,0.9198,0.9604249999999999,20848290.0,16839350.0,18084940.000000004,18735700.0,12083770.0,10529630.0,10578250.0,11105250.0,8764520.0,6309719.999999999,7506690.000000002,7630450.0,20401000.0,20396400.0,17896200.0,19892200.0,0.14389933333333332,0.14110566666666668,0.147322,0.14366416666666668,2868130.7000000007,2413844.599999999,3196767.1000000015,3388485.2,0.35345,0.34954,0.34523000000000004,0.3490825,630847.3999999999,233462.2,240258.19999999995,359223.54999999993,1.5860133844376498,1.5520240575767195,1.4933750671086752,1.5375810724698196,115337.48200000002,92049.80842,104918.58741999995,101738.22627000001,712667.61041,669359.78759,643085.23779,671038.9887175,16.226821889999915,16.43022009999996,22.302806459999942,18.065073287499956,0.01157529390593537,0.003798249953003677,0.029781212326230305,0.018596918485849635,0.07863605440986166,0.024585748681087517,0.1764440790741645,0.11571484508362229,0.025062929405175866,0.02381878484141557,0.027166912132646517,0.025467501637361487,0.7452009047450583,0.7462670094618404,0.6751261750993975,0.7244759689562323,1.1254406752003696,1.0709283670246263,1.2841566858613296,1.1607318922517011,198624.0,139975.0,91918.0,134810.25,0.0725,0.0775,0.09,0.08124999999999999
,2024.0,33507500.0,9427199.999999996,12545699.999999996,21506399.999999993,14661900.0,1.0092,22478250.0,11573090.0,10905159.999999998,20916500.0,0.12684266666666666,5155278.8999999985,0.36351999999999995,907499.8999999999,1.6999538547863582,110883.18506999999,760424.19,17.582014080000015,0.027755216386013838,0.16655025443741736,0.027982304108901325,0.7329011968594001,1.1902673076386576,250864.0,0.0725,2024.0,2024.0,2023.0,2023.75,33309100.000000007,30423599.999999996,32193000.0,31255625.0,8894099.999999998,9608600.000000002,13497800.000000004,10308700.0,9121900.0,7639500.0,13244000.0,9604500.0,21705800.000000004,20473100.0,20031899.999999993,20404725.0,14164000.0,14180700.0,12947800.0,13610750.0,0.993,1.0028,0.9338,0.978725,20407990.0,20848290.0,19170219.999999996,19316462.5,10588790.0,12083770.0,11229350.0,11107885.0,9819199.999999998,8764520.0,7940869.999999997,8208577.499999998,20897400.0,20401000.0,20875200.0,20642500.0,0.13573366666666664,0.14389933333333332,0.14232966666666666,0.14076708333333332,3590035.8,2868130.7000000007,5075198.3999999985,3486802.3749999995,0.36143000000000003,0.35345,0.34811000000000003,0.3531325,800935.4,630847.3999999999,332326.4,499392.85,1.6456474876925056,1.5860133844376498,1.5189117807562333,1.575649177615777,126285.41380000001,115337.48200000002,94647.02724000007,107079.93286500002,750604.1268900001,712667.61041,659043.31908,697918.7109925,20.050513879999997,16.226821889999915,17.300444700000018,17.50200014249997,0.021789035779643296,0.01157529390593537,0.029232917758229195,0.016598874349202885,0.13383431266535933,0.07863605440986166,0.1831934981693755,0.10506240348142101,0.028373769446463866,0.025062929405175866,0.02582138017020799,0.025769215965815825,0.7261943040999502,0.7452009047450583,0.7313097865186329,0.7372430012063704,1.2091265938955278,1.1254406752003696,1.1624018409204793,1.1419743692602506,224272.0,198624.0,108724.0,167898.75,0.0725,0.0725,0.085,0.076875
,2025.0,29892900.0,9733400.0,8115000.0,20690700.0,15074000.0,1.0837999999999999,20325710.0,10698610.0,9627100.0,21498100.0,0.12888266666666667,2344373.1,0.36776,682931.6,1.7750918151679151,93983.08141,777043.67135,23.714639649999807,0.007107397181280365,0.043815235175725935,0.025499643551159572,0.6797272435746958,1.164487081216225,245777.0,0.0725,2024.0,2024.0,2024.0,2024.0,33507500.0,33309100.000000007,29096800.0,31584250.0,9427199.999999996,8894099.999999998,9234300.0,9291050.0,12545699.999999996,9121900.0,8412600.0,9429925.0,21506399.999999993,21705800.000000004,19408100.0,20773350.0,14661900.0,14164000.0,13150500.0,14039275.0,1.0092,0.993,0.9853,0.997575,22478250.0,20407990.0,16839350.0,20143470.0,11573090.0,10588790.0,10529630.0,11193820.0,10905159.999999998,9819199.999999998,6309719.999999999,8949650.0,20916500.0,20897400.0,20396400.0,20652825.0,0.12684266666666666,0.13573366666666664,0.14110566666666668,0.1368953333333333,5155278.8999999985,3590035.8,2413844.599999999,3506822.4999999995,0.36351999999999995,0.36143000000000003,0.34954,0.356985,907499.8999999999,800935.4,233462.2,643186.225,1.6999538547863582,1.6456474876925056,1.5520240575767195,1.6209096961233083,110883.18506999999,126285.41380000001,92049.80842,111138.9723225,760424.19,750604.1268900001,669359.78759,723263.9287225001,17.582014080000015,20.050513879999997,16.43022009999996,17.572392487499968,0.027755216386013838,0.021789035779643296,0.003798249953003677,0.016229449006149047,0.16655025443741736,0.13383431266535933,0.024585748681087517,0.10090159254843147,0.027982304108901325,0.028373769446463866,0.02381878484141557,0.026309446950489156,0.7329011968594001,0.7261943040999502,0.7462670094618404,0.7376408537915622,1.1902673076386576,1.2091265938955278,1.0709283670246263,1.1489407359397954,250864.0,224272.0,139975.0,203433.75,0.0725,0.0725,0.0775,0.07375
,2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,29173.984039999992,817018.92578,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,1.1444629946998681,252200.0,0.07125000000000001,2025.0,2024.0,2024.0,2024.25,29892900.0,33507500.0,30423599.999999996,31783275.0,9733400.0,9427199.999999996,9608600.000000002,9415825.0,8115000.0,12545699.999999996,7639500.0,9355525.0,20690700.0,21506399.999999993,20473100.0,21094000.0,15074000.0,14661900.0,14180700.0,14520150.0,1.0837999999999999,1.0092,1.0028,1.0222,20325710.0,22478250.0,20848290.0,21015060.0,10698610.0,11573090.0,12083770.0,11236065.0,9627100.0,10905159.999999998,8764520.0,9778995.0,21498100.0,20916500.0,20401000.0,20928250.0,0.12888266666666667,0.12684266666666666,0.14389933333333332,0.13383958333333332,2344373.1,5155278.8999999985,2868130.7000000007,3489454.6249999995,0.36776,0.36351999999999995,0.35345,0.36154,682931.6,907499.8999999999,630847.3999999999,755553.575,1.7750918151679151,1.6999538547863582,1.5860133844376498,1.6766766355211071,93983.08141,110883.18506999999,115337.48200000002,111622.29057,777043.67135,760424.19,712667.61041,750184.8996625,23.714639649999807,17.582014080000015,16.226821889999915,19.39349737499993,0.007107397181280365,0.027755216386013838,0.01157529390593537,0.01705673581321822,0.043815235175725935,0.16655025443741736,0.07863605440986166,0.10570896417209107,0.025499643551159572,0.027982304108901325,0.025062929405175866,0.026729661627925158,0.6797272435746958,0.7329011968594001,0.7452009047450583,0.7210059123197762,1.164487081216225,1.1902673076386576,1.1254406752003696,1.172330414487695,245777.0,250864.0,198624.0,229884.25,0.0725,0.0725,0.0725,0.0725
,2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,2025.0,2025.0,2024.0,2024.5,32185299.999999996,29892900.0,33309100.000000007,32223700.0,10070500.000000002,9733400.0,8894099.999999998,9531300.0,8980599.999999998,8115000.0,9121900.0,9690799.999999998,22057100.000000004,20690700.0,21705800.000000004,21490000.0,15437000.0,15074000.0,14164000.0,14834225.0,1.0973,1.0837999999999999,0.993,1.045825,20413600.0,20325710.0,20407990.0,20906387.5,10453130.000000002,10698610.0,10588790.0,10828405.0,9960470.000000002,9627100.0,9819199.999999998,10077982.5,21471300.0,21498100.0,20897400.0,21195825.0,0.11561133333333332,0.12888266666666667,0.13573366666666664,0.12676758333333332,3355171.6999999997,2344373.1,3590035.8,3611214.874999999,0.37445999999999996,0.36776,0.36143000000000003,0.36679249999999997,650612.9,682931.6,800935.4,760494.95,1.7946178251347622,1.7750918151679151,1.6456474876925056,1.7288277456953853,29173.984039999992,93983.08141,126285.41380000001,90081.41608,817018.92578,777043.67135,750604.1268900001,776272.728505,26.273901530000035,23.714639649999807,20.050513879999997,21.90526728499996,0.013527105809768493,0.007107397181280365,0.021789035779643296,0.017544688789176498,0.08924951171827195,0.043815235175725935,0.13383431266535933,0.10836232849919365,0.02478419176751925,0.025499643551159572,0.028373769446463866,0.026659977218511002,0.686424272980111,0.6797272435746958,0.7261943040999502,0.7063117543785393,1.1444629946998681,1.164487081216225,1.2091265938955278,1.1770859943625696,252200.0,245777.0,224272.0,243278.25,0.07125000000000001,0.0725,0.0725,0.0721875
,2025.0,32185299.999999996,10070500.000000002,8980599.999999998,22057100.000000004,15437000.0,1.0973,20413600.0,10453130.000000002,9960470.000000002,21471300.0,0.11561133333333332,3355171.6999999997,0.37445999999999996,650612.9,1.7946178251347622,,,26.273901530000035,0.013527105809768493,0.08924951171827195,0.02478419176751925,0.686424272980111,,252200.0,0.07125000000000001,2025.0,2025.0,2024.0,2024.75,32185299.999999996,32185299.999999996,33507500.0,31942750.0,10070500.000000002,10070500.000000002,9427199.999999996,9825400.0,8980599.999999998,8980599.999999998,12545699.999999996,9655474.999999998,22057100.000000004,22057100.000000004,21506399.999999993,21577825.0,15437000.0,15437000.0,14661900.0,15152475.0,1.0973,1.0973,1.0092,1.0719,20413600.0,20413600.0,22478250.0,20907790.0,10453130.000000002,10453130.000000002,11573090.0,10794490.000000002,9960470.000000002,9960470.000000002,10905159.999999998,10113300.0,21471300.0,21471300.0,20916500.0,21339300.0,0.11561133333333332,0.11561133333333332,0.12684266666666666,0.12173699999999998,3355171.6999999997,3355171.6999999997,5155278.8999999985,3552498.8499999996,0.37445999999999996,0.37445999999999996,0.36351999999999995,0.37004999999999993,650612.9,650612.9,907499.8999999999,722914.325,1.7946178251347622,1.7946178251347622,1.6999538547863582,1.7660703300559495,,29173.984039999992,110883.18506999999,,,817018.92578,760424.19,,26.273901530000035,26.273901530000035,17.582014080000015,23.46111419749997,0.013527105809768493,0.013527105809768493,0.027755216386013838,0.015479206296707798,0.08924951171827195,0.08924951171827195,0.16655025443741736,0.0972161282624218,0.02478419176751925,0.02478419176751925,0.027982304108901325,0.025762582798774847,0.686424272980111,0.686424272980111,0.7329011968594001,0.6963692465985795,,1.1444629946998681,1.1902673076386576,,252200.0,252200.0,250864.0,250260.25,0.07125000000000001,0.07125000000000001,0.0725,0.071875
