model,smape,mase
stl_arima,0.16352154459117202,0.857552364110038
sma4,0.16713490249071747,0.8355227860094888
ets,0.1793292692084908,0.9220509747904427
seasonal_naive,0.2280278728476048,1.0820168180473055
sarima_grid,0.8803270806084353,6.942623788784859e+61
